parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
MP10,Parque D.Pedro II,2018-09-08,19,2018-09-08T18:59:59Z,sáb,46,-,Sim
MP10,Parque D.Pedro II,2018-09-08,20,2018-09-08T19:59:59Z,sáb,30,-,Sim
MP10,Parque D.Pedro II,2018-09-08,21,2018-09-08T20:59:59Z,sáb,38,-,Sim
MP10,Parque D.Pedro II,2018-09-08,22,2018-09-08T21:59:59Z,sáb,35,-,Sim
MP10,Parque D.Pedro II,2018-09-08,23,2018-09-08T22:59:59Z,sáb,43,-,Sim
MP10,Parque D.Pedro II,2018-09-08,24,2018-09-08T23:59:59Z,sáb,38,-,Sim
MP10,Parque D.Pedro II,2018-09-09,1,2018-09-09T00:59:59Z,dom,36,-,Sim
MP10,Parque D.Pedro II,2018-09-09,2,2018-09-09T01:59:59Z,dom,49,-,Sim
MP10,Parque D.Pedro II,2018-09-09,3,2018-09-09T02:59:59Z,dom,32,-,Sim
MP10,Parque D.Pedro II,2018-09-09,4,2018-09-09T03:59:59Z,dom,31,-,Sim
MP10,Parque D.Pedro II,2018-09-09,5,2018-09-09T04:59:59Z,dom,39,-,Sim
MP10,Parque D.Pedro II,2018-09-09,6,2018-09-09T05:59:59Z,dom,34,-,Sim
MP10,Parque D.Pedro II,2018-09-09,7,2018-09-09T06:59:59Z,dom,39,-,Sim
MP10,Parque D.Pedro II,2018-09-09,8,2018-09-09T07:59:59Z,dom,37,-,Sim
MP10,Parque D.Pedro II,2018-09-09,9,2018-09-09T08:59:59Z,dom,26,-,Sim
MP10,Parque D.Pedro II,2018-09-09,10,2018-09-09T09:59:59Z,dom,26,-,Sim
MP10,Parque D.Pedro II,2018-09-09,11,2018-09-09T10:59:59Z,dom,29,-,Sim
MP10,Parque D.Pedro II,2018-09-09,12,2018-09-09T11:59:59Z,dom,42,-,Sim
MP10,Parque D.Pedro II,2018-09-09,13,2018-09-09T12:59:59Z,dom,40,-,Sim
MP10,Parque D.Pedro II,2018-09-09,14,2018-09-09T13:59:59Z,dom,48,-,Sim
MP10,Parque D.Pedro II,2018-09-09,15,2018-09-09T14:59:59Z,dom,46,-,Sim
MP10,Parque D.Pedro II,2018-09-09,16,2018-09-09T15:59:59Z,dom,51,-,Sim
MP10,Parque D.Pedro II,2018-09-09,17,2018-09-09T16:59:59Z,dom,55,-,Sim
MP10,Parque D.Pedro II,2018-09-09,18,2018-09-09T17:59:59Z,dom,52,-,Sim
MP10,Parque D.Pedro II,2018-09-09,19,2018-09-09T18:59:59Z,dom,40,-,Sim
MP10,Parque D.Pedro II,2018-09-09,20,2018-09-09T19:59:59Z,dom,32,-,Sim
MP10,Parque D.Pedro II,2018-09-09,21,2018-09-09T20:59:59Z,dom,18,-,Sim
MP10,Parque D.Pedro II,2018-09-09,22,2018-09-09T21:59:59Z,dom,34,-,Sim
MP10,Parque D.Pedro II,2018-09-09,23,2018-09-09T22:59:59Z,dom,22,-,Sim
MP10,Parque D.Pedro II,2018-09-09,24,2018-09-09T23:59:59Z,dom,23,-,Sim
MP10,Parque D.Pedro II,2018-09-10,1,2018-09-10T00:59:59Z,seg,8,-,Sim
MP10,Parque D.Pedro II,2018-09-10,2,2018-09-10T01:59:59Z,seg,25,-,Sim
MP10,Parque D.Pedro II,2018-09-10,3,2018-09-10T02:59:59Z,seg,21,-,Sim
MP10,Parque D.Pedro II,2018-09-10,4,2018-09-10T03:59:59Z,seg,23,-,Sim
MP10,Parque D.Pedro II,2018-09-10,5,2018-09-10T04:59:59Z,seg,21,-,Sim
MP10,Parque D.Pedro II,2018-09-10,6,2018-09-10T05:59:59Z,seg,22,-,Sim
MP10,Parque D.Pedro II,2018-09-10,7,2018-09-10T06:59:59Z,seg,20,-,Sim
MP10,Parque D.Pedro II,2018-09-10,8,2018-09-10T07:59:59Z,seg,25,-,Sim
MP10,Parque D.Pedro II,2018-09-10,9,2018-09-10T08:59:59Z,seg,19,-,Sim
MP10,Parque D.Pedro II,2018-09-10,10,2018-09-10T09:59:59Z,seg,37,-,Sim
MP10,Parque D.Pedro II,2018-09-10,11,2018-09-10T10:59:59Z,seg,27,-,Sim
MP10,Parque D.Pedro II,2018-09-10,12,2018-09-10T11:59:59Z,seg,28,-,Sim
MP10,Parque D.Pedro II,2018-09-10,13,2018-09-10T12:59:59Z,seg,22,-,Sim
MP10,Parque D.Pedro II,2018-09-10,14,2018-09-10T13:59:59Z,seg,29,-,Sim
MP10,Parque D.Pedro II,2018-09-10,15,2018-09-10T14:59:59Z,seg,26,-,Sim
